Land,Year,Series,Value
"Total, all countries or areas",2005,Land area (thousand hectares),12997688.28
"Total, all countries or areas",2005,Arable land (thousand hectares),1356869.48
"Total, all countries or areas",2005,Permanent crops (thousand hectares),145680.55
"Total, all countries or areas",2005,Forest cover (thousand hectares),4032742.686
"Total, all countries or areas",2005,Arable land (% of total land area),10.4393
"Total, all countries or areas",2005,Permanent crops (% of total land area),1.1208
"Total, all countries or areas",2005,Forest cover (% of total land area),31.0266
"Total, all countries or areas",2005,Important sites for terrestrial biodiversity protected (% of total sites protected),36.2153
"Total, all countries or areas",2010,Land area (thousand hectares),12995614.99
"Total, all countries or areas",2010,Arable land (thousand hectares),1347680.89
"Total, all countries or areas",2010,Permanent crops (thousand hectares),158259.18
"Total, all countries or areas",2010,Forest cover (thousand hectares),4015672.963
"Total, all countries or areas",2010,Arable land (% of total land area),10.3703
"Total, all countries or areas",2010,Permanent crops (% of total land area),1.2178
"Total, all countries or areas",2010,Forest cover (% of total land area),30.9002
"Total, all countries or areas",2010,Important sites for terrestrial biodiversity protected (% of total sites protected),40.8525
"Total, all countries or areas",2017,Land area (thousand hectares),13002855.208
"Total, all countries or areas",2017,Arable land (thousand hectares),1390698.8055
"Total, all countries or areas",2017,Permanent crops (thousand hectares),167877.4475
"Total, all countries or areas",2017,Forest cover (thousand hectares),3999133.622
"Total, all countries or areas",2017,Arable land (% of total land area),10.6953
"Total, all countries or areas",2017,Permanent crops (% of total land area),1.2911
"Total, all countries or areas",2017,Forest cover (% of total land area),30.7558
"Total, all countries or areas",2017,Important sites for terrestrial biodiversity protected (% of total sites protected),43.5335
"Total, all countries or areas",2019,Important sites for terrestrial biodiversity protected (% of total sites protected),43.7193
Africa,2005,Land area (thousand hectares),2964822.5
Africa,2005,Arable land (thousand hectares),215650.92
Africa,2005,Permanent crops (thousand hectares),30853.5
Africa,2005,Forest cover (thousand hectares),654678.904
Africa,2005,Arable land (% of total land area),7.2737
Africa,2005,Permanent crops (% of total land area),1.0407
Africa,2005,Forest cover (% of total land area),22.0816
Africa,2010,Land area (thousand hectares),2964893.5
Africa,2010,Arable land (thousand hectares),225758.7
Africa,2010,Permanent crops (thousand hectares),33511.3
Africa,2010,Forest cover (thousand hectares),638282.158
Africa,2010,Arable land (% of total land area),7.6144
Africa,2010,Permanent crops (% of total land area),1.1303
Africa,2010,Forest cover (% of total land area),21.528
Africa,2017,Land area (thousand hectares),2964920.5
Africa,2017,Arable land (thousand hectares),240668.0071
Africa,2017,Permanent crops (thousand hectares),35323.599
Africa,2017,Forest cover (thousand hectares),624102.627
Africa,2017,Arable land (% of total land area),8.1172
Africa,2017,Permanent crops (% of total land area),1.1914
Africa,2017,Forest cover (% of total land area),21.0496
Northern Africa,2005,Land area (thousand hectares),838039
Northern Africa,2005,Arable land (thousand hectares),41430
Northern Africa,2005,Permanent crops (thousand hectares),5310
Northern Africa,2005,Forest cover (thousand hectares),36954.088
Northern Africa,2005,Arable land (% of total land area),4.9437
Northern Africa,2005,Permanent crops (% of total land area),0.6336
Northern Africa,2005,Forest cover (% of total land area),4.4096
Northern Africa,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),18.7614
Northern Africa,2010,Land area (thousand hectares),838039
Northern Africa,2010,Arable land (thousand hectares),42525
Northern Africa,2010,Permanent crops (thousand hectares),5805.5
Northern Africa,2010,Forest cover (thousand hectares),36813.012
Northern Africa,2010,Arable land (% of total land area),5.0743
Northern Africa,2010,Permanent crops (% of total land area),0.6927
Northern Africa,2010,Forest cover (% of total land area),4.3928
Northern Africa,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),21.9788
Northern Africa,2017,Land area (thousand hectares),838039
Northern Africa,2017,Arable land (thousand hectares),42227.7371
Northern Africa,2017,Permanent crops (thousand hectares),6413.619
Northern Africa,2017,Forest cover (thousand hectares),28835.938
Northern Africa,2017,Arable land (% of total land area),5.0389
Northern Africa,2017,Permanent crops (% of total land area),0.7653
Northern Africa,2017,Forest cover (% of total land area),3.4409
Northern Africa,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),34.9273
Northern Africa,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),34.9273
Sub-Saharan Africa,2005,Land area (thousand hectares),2126783.5
Sub-Saharan Africa,2005,Arable land (thousand hectares),174220.92
Sub-Saharan Africa,2005,Permanent crops (thousand hectares),25543.5
Sub-Saharan Africa,2005,Forest cover (thousand hectares),617724.816
Sub-Saharan Africa,2005,Arable land (% of total land area),8.1918
Sub-Saharan Africa,2005,Permanent crops (% of total land area),1.201
Sub-Saharan Africa,2005,Forest cover (% of total land area),29.045
Sub-Saharan Africa,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),34.1594
Sub-Saharan Africa,2010,Land area (thousand hectares),2126854.5
Sub-Saharan Africa,2010,Arable land (thousand hectares),183233.7
Sub-Saharan Africa,2010,Permanent crops (thousand hectares),27705.8
Sub-Saharan Africa,2010,Forest cover (thousand hectares),601469.146
Sub-Saharan Africa,2010,Arable land (% of total land area),8.6152
Sub-Saharan Africa,2010,Permanent crops (% of total land area),1.3027
Sub-Saharan Africa,2010,Forest cover (% of total land area),28.2798
Sub-Saharan Africa,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),39.1808
Sub-Saharan Africa,2017,Land area (thousand hectares),2126881.5
Sub-Saharan Africa,2017,Arable land (thousand hectares),198440.27
Sub-Saharan Africa,2017,Permanent crops (thousand hectares),28909.98
Sub-Saharan Africa,2017,Forest cover (thousand hectares),595266.689
Sub-Saharan Africa,2017,Arable land (% of total land area),9.3301
Sub-Saharan Africa,2017,Permanent crops (% of total land area),1.3593
Sub-Saharan Africa,2017,Forest cover (% of total land area),27.9878
Sub-Saharan Africa,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),40.8735
Sub-Saharan Africa,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),41.0193
Eastern Africa,2005,Land area (thousand hectares),605628.5
Eastern Africa,2005,Arable land (thousand hectares),55769.9
Eastern Africa,2005,Permanent crops (thousand hectares),6913
Eastern Africa,2005,Forest cover (thousand hectares),203745.226
Eastern Africa,2005,Arable land (% of total land area),9.2086
Eastern Africa,2005,Permanent crops (% of total land area),1.1415
Eastern Africa,2005,Forest cover (% of total land area),33.6419
Eastern Africa,2010,Land area (thousand hectares),605699.5
Eastern Africa,2010,Arable land (thousand hectares),62228.32
Eastern Africa,2010,Permanent crops (thousand hectares),7603.8
Eastern Africa,2010,Forest cover (thousand hectares),196249.456
Eastern Africa,2010,Arable land (% of total land area),10.2738
Eastern Africa,2010,Permanent crops (% of total land area),1.2554
Eastern Africa,2010,Forest cover (% of total land area),32.4005
Eastern Africa,2017,Land area (thousand hectares),605726.5
Eastern Africa,2017,Arable land (thousand hectares),66555.47
Eastern Africa,2017,Permanent crops (thousand hectares),8374.98
Eastern Africa,2017,Forest cover (thousand hectares),197307.686
Eastern Africa,2017,Arable land (% of total land area),10.9877
Eastern Africa,2017,Permanent crops (% of total land area),1.3826
Eastern Africa,2017,Forest cover (% of total land area),32.5737
Middle Africa,2005,Land area (thousand hectares),649682
Middle Africa,2005,Arable land (thousand hectares),22745
Middle Africa,2005,Permanent crops (thousand hectares),2762
Middle Africa,2005,Forest cover (thousand hectares),310491
Middle Africa,2005,Arable land (% of total land area),3.5009
Middle Africa,2005,Permanent crops (% of total land area),0.4251
Middle Africa,2005,Forest cover (% of total land area),47.7912
Middle Africa,2010,Land area (thousand hectares),649682
Middle Africa,2010,Arable land (thousand hectares),24061
Middle Africa,2010,Permanent crops (thousand hectares),3250
Middle Africa,2010,Forest cover (thousand hectares),306377.6
Middle Africa,2010,Arable land (% of total land area),3.7035
Middle Africa,2010,Permanent crops (% of total land area),0.5002
Middle Africa,2010,Forest cover (% of total land area),47.1581
Middle Africa,2017,Land area (thousand hectares),649682
Middle Africa,2017,Arable land (thousand hectares),30899
Middle Africa,2017,Permanent crops (thousand hectares),3830
Middle Africa,2017,Forest cover (thousand hectares),303250.6
Middle Africa,2017,Arable land (% of total land area),4.756
Middle Africa,2017,Permanent crops (% of total land area),0.5895
Middle Africa,2017,Forest cover (% of total land area),46.6768
Southern Africa,2005,Land area (thousand hectares),265067
Southern Africa,2005,Arable land (thousand hectares),14730
Southern Africa,2005,Permanent crops (thousand hectares),405.5
Southern Africa,2005,Forest cover (thousand hectares),29429
Southern Africa,2005,Arable land (% of total land area),5.5571
Southern Africa,2005,Permanent crops (% of total land area),0.153
Southern Africa,2005,Forest cover (% of total land area),11.1025
Southern Africa,2010,Land area (thousand hectares),265067
Southern Africa,2010,Arable land (thousand hectares),14089
Southern Africa,2010,Permanent crops (thousand hectares),460
Southern Africa,2010,Forest cover (thousand hectares),28489
Southern Africa,2010,Arable land (% of total land area),5.3153
Southern Africa,2010,Permanent crops (% of total land area),0.1735
Southern Africa,2010,Forest cover (% of total land area),10.7478
Southern Africa,2017,Land area (thousand hectares),265067
Southern Africa,2017,Arable land (thousand hectares),13646.8
Southern Africa,2017,Permanent crops (thousand hectares),444
Southern Africa,2017,Forest cover (thousand hectares),27635
